load,windall,windallsigma,windnorth,windnorthsigma,windsouth,windsouthsigma
26418,7045,6893,5885,7026,1160,133
25825,6760,6453,5601,6590,1159,137
25267,6112,5581,5070,5605,1042,24
25055,5248,4402,4448,4434,800,32
24961,4538,3591,3826,3593,712,2
25373,4580,3155,3637,3517,943,362
26204,4759,3343,3453,3784,1306,441
26830,4733,3355,3170,4211,1563,856
27662,4053,1932,2425,2853,1628,921
28413,3415,894,1593,2219,1822,1424
28663,2672,850,1200,994,1472,1165
28623,2360,784,754,947,1606,1416
28460,1800,1069,493,374,1307,1443
28060,1345,826,322,97,1023,923
27564,1240,757,381,47,859,804
27319,1241,647,410,58,831,705
27454,1204,607,449,71,755,678
29219,1115,521,403,78,712,565
32078,1211,615,451,131,760,584
32503,1255,622,480,148,775,565
32463,1449,680,658,226,791,542
32189,2012,818,1017,804,995,713
31226,2307,850,1123,1255,1184,810
29928,2379,863,1185,1237,1194,784
28905,2244,879,1112,1036,1132,740
28543,2202,859,986,1005,1216,775
28556,2224,855,1027,1052,1197,814
28938,2076,826,1047,970,1029,705
29882,2234,860,1116,1231,1118,642
31768,2336,859,1285,1351,1051,594
34310,2441,1006,1384,1536,1057,530
35686,2265,840,1271,1290,994,509
35905,2144,856,1275,1156,869,467
35828,1495,803,748,531,747,385
35529,915,342,393,119,522,223
34582,748,304,228,74,520,230
33558,574,329,129,31,445,347
32415,344,181,81,8,263,173
31444,288,146,76,4,212,142
30965,268,149,92,2,176,147
31200,178,42,88,1,90,41
33423,127,13,86,1,41,12
36688,166,42,139,33,27,9
37376,284,77,260,76,24,1
37564,808,533,787,344,21,189
37057,1098,650,1034,499,64,222
35470,1798,816,1637,1050,161,253
33752,2694,1941,2449,2236,245,295
32795,3207,2150,2811,2260,396,110
32578,3913,2645,3408,2773,505,128
32821,4335,3171,3666,3291,669,120
33554,5039,4418,4244,4609,795,191
35225,5345,4820,4675,5000,670,180
38485,5393,4619,4659,4777,734,158
43081,4882,3876,4240,3946,642,70
44307,4721,3495,4114,3559,607,64
42620,4492,3174,3863,3199,629,25
40480,4067,2666,3507,2669,560,3
38574,3477,1989,2957,1990,520,1
36837,3546,2175,3022,2179,524,4
35333,3960,2859,3373,2860,587,1
34186,4220,3308,3554,3309,666,1
33210,4443,3258,3758,3261,685,3
32661,4868,3658,4049,3666,819,8
32799,5101,3944,4202,3968,899,24
34882,5261,4141,4345,4183,916,42
38077,6112,5318,4975,5414,1137,96
38568,6756,6404,5360,6574,1396,170
38442,7225,6891,5699,7297,1526,406
37342,7226,6663,5607,7144,1619,481
35066,7235,6616,5478,7140,1757,524
32696,7142,6403,5434,7010,1708,607
31266,6938,5844,5240,6494,1698,650
30672,6299,4441,4819,4960,1480,519
30499,5502,3723,4048,4211,1454,488
30644,4652,2921,3500,3412,1152,491
31761,4177,3501,3092,3947,1085,446
34505,4290,5163,3001,5625,1289,462
38800,4251,3656,3150,3956,1101,300
39882,4737,3259,3515,3570,1222,311
38362,5334,4099,4151,4290,1183,191
36789,5511,5136,4494,5283,1017,147
35356,5071,3878,4085,3902,986,24
34225,5227,3832,4101,3928,1126,96
33306,5225,3775,4013,3928,1212,153
32662,4913,3679,3848,3879,1065,200
32113,4184,2368,3229,2606,955,238
31554,4067,2211,3083,2457,984,246
31604,3378,1378,2527,1669,851,291
32953,2962,1343,2113,1738,849,395
35428,2359,891,1586,1120,773,374
35542,1997,884,1340,876,657,387
35232,1898,858,1196,1086,702,498
34151,1542,813,1058,1180,484,500
32134,1013,740,624,553,389,406
29962,752,590,267,292,485,298
28689,412,252,127,26,285,226
28212,321,214,129,52,192,162
28083,207,180,153,117,54,105
28387,298,292,288,423,10,131
29499,354,342,348,407,6,65
32356,441,413,382,414,59,1
36686,578,513,519,514,59,1
37984,791,818,763,819,28,1
36622,922,591,842,582,80,9
35400,966,389,907,388,59,1
34454,909,376,839,375,70,1
33552,744,182,657,181,87,1
32810,997,345,831,344,166,1
32333,1101,393,891,390,210,3
31850,1264,495,953,482,311,13
31527,1232,484,909,442,323,42
31463,1221,558,933,490,288,68
32555,1283,681,994,640,289,41
34771,1880,921,1563,1082,317,161
34781,3041,2192,2571,2352,470,160
34363,4096,3103,3460,3293,636,190
33084,4932,3807,4204,3996,728,189
30914,5772,4890,4952,5100,820,210
28721,6342,5521,5532,5782,810,261
27353,6379,5620,5604,5878,775,258
26545,6316,5541,5548,5744,768,203
26194,6174,5479,5410,5577,764,98
26317,6351,5784,5541,5888,810,104
27045,6412,5776,5548,5886,864,110
29266,6520,5863,5648,5983,872,120
33062,6213,5349,5368,5451,845,102
34422,6176,5670,5361,5768,815,98
33438,5642,5017,4920,5021,722,4
32935,5093,4593,4527,4594,566,1
32669,4246,3668,3758,3669,488,1
32230,3583,2293,3077,2294,506,1
31885,3907,2198,3197,2244,710,46
31848,4454,2652,3402,2756,1052,104
31730,4859,2995,3735,3218,1124,223
31483,4526,2874,3435,3132,1091,258
31162,3963,2634,2838,2924,1125,290
31517,3392,2173,2340,2561,1052,388
33059,2985,1185,2144,1623,841,438
32580,3467,1578,2593,2095,874,517
31764,5033,3358,4028,4053,1005,695
30746,5114,2878,4245,3443,869,565
29348,5761,3653,4686,4206,1075,553
27507,6223,4427,4957,5035,1266,608
26158,6093,4497,4884,5039,1209,542
25186,6023,4624,4827,5121,1196,497
24599,5606,4112,4437,4500,1169,388
24468,5258,3607,4142,3965,1116,358
24726,4925,3195,3834,3481,1091,286
25617,4883,3506,3722,3795,1161,289
27134,4209,2492,3214,2766,995,274
28475,4038,2621,3160,2911,878,290
29773,3352,2476,2636,2641,716,165
31007,2679,2716,2075,2849,604,133
31581,1580,1277,1199,1317,381,40
31626,895,774,540,793,355,19
31322,386,73,207,72,179,1
30798,231,5,127,4,104,1
30432,180,5,87,4,93,1
30297,153,7,35,6,118,1
30231,164,15,7,6,157,9
31088,213,23,14,4,199,19
32814,470,309,79,16,391,293
32718,623,357,196,38,427,319
32110,929,574,582,172,347,402
31207,1062,549,856,292,206,257
29920,1378,659,1076,435,302,224
28414,1699,801,1255,714,444,270
27048,1809,836,1398,849,411,353
26231,1794,786,1309,1075,485,363
25773,1732,828,1245,970,487,261
25682,1899,1021,1522,1300,377,279
25883,1850,931,1546,1108,304,177
26537,2096,1474,1773,1643,323,169
27663,1862,1480,1563,1591,299,111
28744,1786,1322,1548,1417,238,95
29797,1809,1241,1541,1242,268,1
30822,1232,421,943,419,289,2
31119,1114,289,689,268,425,21
31101,1297,456,683,341,614,115
31150,1438,508,738,260,700,248
30972,1771,776,949,416,822,374
30678,2194,824,1295,516,899,555
30623,2592,860,1622,815,970,593
30997,2671,859,1828,798,843,540
32500,2986,868,2226,1041,760,519
34417,3737,1428,2882,1947,855,519
34412,4313,2110,3347,2614,966,504
33731,5204,3292,4179,3829,1025,537
32395,5752,4563,4738,5115,1014,552
30429,5751,4324,4754,4775,997,451
28255,5807,4264,4703,4627,1104,363
26683,6087,4956,4968,5235,1119,279
26031,5908,4605,4859,4837,1049,232
25930,5765,4364,4620,4532,1145,168
26115,5874,4608,4669,4754,1205,146
26929,5493,3993,4372,4142,1121,149
29378,5797,4643,4787,4827,1010,184
33465,5208,3800,4360,3942,848,142
35288,5470,4239,4540,4347,930,108
35361,5299,4042,4354,4207,945,165
35904,5493,5590,4434,5881,1059,291
36290,4627,4794,3762,5033,865,239
36928,4262,4252,3116,4525,1146,273
37050,3563,2087,2495,2285,1068,198
37073,3956,2562,2640,2938,1316,376
36759,4164,2745,2802,3396,1362,651
36427,3818,1936,2470,2430,1348,494
36687,3935,2255,2501,2863,1434,608
38193,2626,860,1675,1134,951,373
39775,2543,767,1512,1159,1031,413
39340,2655,855,1634,1044,1021,511
38406,2715,861,1615,1135,1100,373
36757,3224,1132,1937,1763,1287,631
33925,3279,1763,1884,2772,1395,1009
31581,2504,865,1298,1528,1206,866
29974,2824,1190,1606,2087,1218,897
29192,3117,1813,1810,2652,1307,839
28997,3407,1506,1985,2580,1422,1074
29190,3014,980,1837,1725,1177,745
30381,3294,1204,2145,1863,1149,659
33220,3685,1538,2559,2195,1126,657
37659,3634,1437,2702,1961,932,524
39438,3677,1546,2663,2044,1014,498
38587,3522,1550,2459,2092,1063,542
38309,3270,1353,2213,1863,1057,510
38367,2581,850,1625,976,956,378
37950,2541,858,1549,998,992,400
37251,2763,915,1654,1320,1109,520
36790,2711,915,1567,1268,1144,537
36322,2818,912,1585,1504,1233,842
36006,2457,902,1375,1152,1082,688
36027,2043,886,1286,819,757,435
37361,1561,741,1205,513,356,228
39764,1537,545,1322,482,215,63
39797,1950,787,1722,749,228,38
39247,2883,1560,2438,1661,445,101
37783,3687,2535,3086,2718,601,183
35162,4225,2883,3671,3238,554,355
32875,4556,3229,3912,3560,644,331
31530,5086,4037,4324,4363,762,326
30924,5328,4178,4490,4590,838,412
30921,5908,5317,4916,5841,992,524
31407,5694,4813,4771,5380,923,567
32644,5711,4914,4798,5485,913,571
35711,5690,4873,4761,5450,929,577
40530,5679,4612,4843,5074,836,462
41539,5773,4601,4816,5016,957,415
39455,5405,4337,4504,4494,901,157
37248,5370,4859,4735,4961,635,102
35803,5233,4597,4513,4621,720,24
34554,5300,4572,4405,4590,895,18
33330,5595,5035,4555,5077,1040,42
32717,6059,5789,5012,5877,1047,88
32208,6195,5840,5143,5917,1052,77
31952,6368,6064,5267,6140,1101,76
32034,6112,5395,4985,5484,1127,89
32967,6223,5336,5129,5442,1094,106
35422,6895,6146,5654,6369,1241,223
35687,7032,6095,5609,6390,1423,295
35649,7412,6440,5869,6919,1543,479
34747,7496,6376,5804,6928,1692,552
32717,7283,6063,5677,6556,1606,493
30581,7176,5796,5605,6380,1571,584
29783,6678,4639,5292,5147,1386,508
29890,6690,4102,5284,4954,1406,852
30334,6663,4070,5319,4909,1344,839
31008,6433,3844,4880,4658,1553,814
32767,6089,3521,4419,4393,1670,872
36419,5666,3265,4001,4255,1665,990
41553,5035,2698,3318,3859,1717,1161
43393,4263,1825,2542,3056,1721,1231
42250,3515,840,1886,1968,1629,1235
41858,3149,846,1666,1258,1483,922
41653,3222,838,1829,1390,1393,852
40779,3212,987,1717,1710,1495,723
39923,2991,817,1581,1584,1410,828
39139,2735,818,1517,1378,1218,659
38467,2503,785,1328,1249,1175,679
38342,1976,752,1004,745,972,520
39412,1498,740,712,406,786,369
41122,1222,723,644,362,578,368
44259,914,239,652,125,262,114
44677,1179,406,922,357,257,49
44718,1802,981,1338,1034,464,53
43621,1997,1060,1553,1163,444,103
41565,2250,1384,1872,1520,378,136
39376,2435,1603,2034,1799,401,196
38091,2248,1426,1889,1523,359,97
37594,2251,1360,1972,1460,279,100
37433,2437,1961,2020,2025,417,64
37678,2370,1814,1963,1914,407,100
38748,2713,3022,2192,3182,521,160
41612,2489,3016,1887,3133,602,117
46007,2073,2247,1587,2533,486,286
46989,1748,1211,1368,1430,380,219
44927,1499,839,1210,1020,289,181
42663,842,273,706,238,136,35
40723,600,95,493,94,107,1
38414,607,90,502,85,105,5
36595,1037,206,874,205,163,1
34988,1628,642,1363,641,265,1
33666,1990,1146,1727,1147,263,1
33116,1872,1069,1605,1070,267,1
33181,1741,1373,1456,1374,285,1
34285,1323,967,1128,968,195,1
37450,1329,763,1108,751,221,12
38140,1929,1539,1673,1604,256,65
38313,2395,1907,2119,2007,276,100
38284,2631,1768,2285,1847,346,79
36763,3052,2010,2675,2065,377,55
35401,3774,2732,3359,2789,415,57
34456,4483,3502,4026,3551,457,49
34022,5002,4395,4513,4430,489,35
33989,5295,5051,4788,5069,507,18
34281,5042,4438,4504,4451,538,13
35132,5037,4537,4523,4542,514,5
36631,4802,4661,4368,4662,434,1
38452,4433,4688,4024,4690,409,2
39989,4107,4568,3719,4572,388,4
40056,3515,3308,3085,3309,430,1
38578,2473,2040,2201,2041,272,1
36720,1380,815,1250,816,130,1
34587,851,350,770,349,81,1
32548,704,214,639,213,65,1
30967,593,80,533,79,60,1
29825,702,190,600,189,102,1
29205,743,185,606,184,137,1
29026,738,139,564,138,174,1
30091,836,164,593,163,243,1
32663,1223,351,953,332,270,19
33078,2146,1043,1755,1088,391,45
33269,3074,1860,2503,1928,571,68
33090,4187,2991,3522,3081,665,90
32118,5274,4154,4536,4276,738,122
31085,5821,5077,4982,5203,839,126
30444,6040,5119,5226,5233,814,114
30144,5931,4929,5134,5031,797,102
30198,5913,4961,5100,5058,813,97
30508,6016,5167,5211,5269,805,102
31079,5864,5052,5030,5166,834,114
32124,5980,5403,5082,5536,898,133
33577,5418,4386,4727,4495,691,109
34725,5158,3850,4475,3947,683,97
35443,4877,3287,4186,3340,691,53
34796,4498,2762,3822,2809,676,47
33384,4161,2246,3418,2294,743,48
31921,4241,2128,3363,2245,878,117
30961,5082,2805,3974,3075,1108,270
30190,5477,3176,4322,3539,1155,363
29461,5933,3765,4682,4183,1251,418
29235,5887,3579,4625,4041,1262,462
29542,5711,3334,4401,3819,1310,485
30613,5534,3234,4242,3789,1292,555
32521,6373,4260,5005,4961,1368,701
32369,7297,5819,5711,6704,1586,885
31645,7812,6801,6018,7747,1794,946
30567,7794,6505,6158,7385,1636,880
28970,7769,6219,6101,7023,1668,804
26988,7752,6291,6097,7111,1655,820
25536,7665,6375,6076,7182,1589,807
24756,7416,6048,5907,6769,1509,721
24476,7072,5594,5652,6193,1420,599
24333,6988,5626,5653,6221,1335,595
24936,6804,5377,5415,5893,1389,516
26489,6820,5195,5455,5749,1365,554
28633,6974,5105,5465,5765,1509,660
29763,7087,5457,5460,6249,1627,792
30509,7089,5095,5550,5932,1539,837
31663,7041,5179,5441,6055,1600,876
32900,6821,4747,5153,5567,1668,820
33222,6737,4684,5114,5547,1623,863
33204,6923,5179,5298,6057,1625,878
33165,6861,4889,5139,5693,1722,804
32926,7162,5239,5265,6169,1897,930
32640,7168,5432,5127,6529,2041,1097
32793,6123,4090,4282,5248,1841,1158
33447,5814,4183,4006,5488,1808,1305
35115,5149,2726,3614,3744,1535,1018
34924,5575,3007,4046,3961,1529,954
34108,6044,3408,4610,4363,1434,955
32778,6441,4084,4875,5023,1566,939
30118,6724,4383,5010,5333,1714,950
27531,6919,4538,5217,5492,1702,954
25705,6696,4580,5052,5504,1644,924
24655,6341,4751,4732,5654,1609,903
24074,5872,4982,4249,5771,1623,789
23984,5063,3943,3782,4580,1281,637
24508,4465,2616,3471,3035,994,419
26624,4796,2759,3699,3093,1097,334
30437,5199,2923,4019,3374,1180,451
32275,5244,2967,3898,3358,1346,391
32284,6343,4549,4813,5057,1530,508
32830,6046,4128,4699,4629,1347,501
33619,5039,3075,3873,3425,1166,350
33866,3931,2491,2956,2594,975,103
33825,3161,2196,2502,2292,659,96
