mc,ramp,capacity,ner,ser,cer,cher
0.7958682,17.88,29.8,0.353,0.02,126.636,128.544
6.5428476,1.5,2.5,0.008,0.008,592.797,12.655
6.8,0.9,1.5,2.789,28.257,1240.195,142.277
6.82,1.02,1.7,2.789,28.257,1240.195,142.277
6.86616072,1.2,2,2.789,28.257,1240.195,142.277
6.92214042,273.6,456,0.007,14.763,1248.527,146.515
7,7.44,12.4,0.008,10.805,1279.277,150.664
7.04,7.5,12.5,1.499778634,10.805,1279.277,150.664
7.08252702,7.5,12.5,5.03581964,10.805,1279.277,150.664
7.1,7.5,12.5,1.499778634,10.805,1279.277,150.664
7.14642972,4.5,7.5,2.951,29.902,1290.819,151.186
7.2038823,2.4,4,2.897,27.521,1301.196,153.246
7.25221374,7.8,13,2.213,21.023,1309.926,125.262
7.5134835,42,70,0.008,19.775,1357.118,159.832
7.8596844,11.46,19.1,1.379,8.84,1418.154,166.577
8.2841919,447.6,746,0.088,0.0204,863.709,16.552
8.3307039,567.66,946.1,0.075,0.0205,868.583,16.291
9,880.8,1468,0.052,0.022,946.061,17.537
9.02,883.32,1472.2,0.052,0.022,946.061,17.537
9.04,932.4,1554,0.052,0.0226,946.061,17.537
9.06571548,1063.98,1773.3,0.052,0.0038,946.061,17.537
9.25334466,780,1300,0.052,0.0231,976.358,19.017
9.295047,3.78,6.3,2.964,10.136,1678.911,162.886
9.3,668.16,1113.6,0.386,0.022,979.051,18.697
9.30364716,715.8,1193,0.386,0.0226,979.051,18.697
9.44075838,70.8,118,0.155,0.0038,999.354,19.731
10.47112002,135,225,0.264,0.0231,1091.718,21.766
10.85814774,5278.68,8797.8,0.699,0.911,1985.065,238.39
10.91907618,1130.4,1884,3.106,0.897,1964.604,236.901
10.93483212,3670.56,6117.6,1.642,30.442,2011.296,252.103
10.95305388,3384.72,5641.2,0.757,1.992,2004.231,241.092
11.1142077,2260.8,3768,2.952,4.883,2000.556,233.461
11.15040042,241.5,402.5,1.292,0.5,1587.32,65.645
11.2271133,3120,5200,2.36,6.578,2065.707,237.507
11.23242798,3112.92,5188.2,0.816,0.742,1924.68,218.757
11.41555074,3860.4,6434,0.78,1.091,2054.799,257.987
11.66024832,263.52,439.2,3.256,13.835,2145.458,253.644
